,CLUB,RATING
Patrik Gunnarsson,Brentford,65
Calum Chambers,Aston Villa,75
Karl Hein,Arsenal,59
Chris Wood,Newcastle United,77
Michal Karbownik,Brighton and Hove Albion,68
Lucas Digne,Aston Villa,83
Rayan Ait-Nouri,Wolverhampton Wanderers,76
Dele Alli,Everton,78
Son Heung-Min,Tottenham Hotspur,89
Matt Targett,Newcastle United,77
Jaden Philogene,Aston Villa,60
Moises Caicedo,Brighton and Hove Albion,67
Alvaro Fernandez,Manchester United,62
Dennis Praet,Leicester City,78
Frederic Guilbert,Aston Villa,78
Conor Hourihane,Aston Villa,74
Niels Nkounkou,Everton,66
Donny van de Beek,Everton,79
Dan Burn,Newcastle United,77
Josh Wilson-Esbrand,Manchester City,73
Hwang Hee-Chan,Wolverhampton Wanderers,77
Louie Moulden,Wolverhampton Wanderers,60
Harry Tyrer,Everton,60
Cieran Slicker,Manchester City,52
Nicolas Nkoulou,Watford,80
Matthew Cox,Brentford,57
James Storer,Wolverhampton Wanderers,60
Reece Welch,Everton,53
Conor Bradley,Liverpool,64
Owen Beck,Liverpool,61
Wout Weghorst,Burnley,80
Rodrigo Bentancur,Tottenham Hotspur,79
Dejan Kulusevski,Tottenham Hotspur,81
Brandon Austin,Tottenham Hotspur,64
Vontae Campbell,Leicester City,60
James Morris,Watford,57
Willy Caballero,Southampton,72
Vincent Angelini,Watford,53
Ben Nelson,Leicester City,58
Jonathan Tomkinson,Norwich City,62
Jonas Lossl,Brentford,71
Ed Turns,Brighton and Hove Albion,58
Hassane Kamara,Watford,76
Edo Kayembe,Watford,70
Filip Marschall,Aston Villa,58
Tim Iroegbunam,Aston Villa,62
CJ Egan-Riley,Manchester City,63
Robin Olsen,Aston Villa,75
Vitaliy Mykolenko,Everton,76
Kris Moore,Leeds United,57
Archie Gray,Leeds United,73
Tyler Morton,Liverpool,64
Jarell Quansah,Liverpool,60
Pierre Ekwah,West Ham United,58
Luis Diaz,Liverpool,84
Charlie Patino,Arsenal,64
Zak Swanson,Arsenal,61
Nathan Patterson,Everton,66
Philippe Coutinho,Aston Villa,82
Josh Feeney,Aston Villa,55
Tony Springett,Norwich City,62
Kaine Hayden,Aston Villa,64
Marc Leonard,Brighton and Hove Albion,57
Kieran Trippier,Newcastle United,84
Stuart McKinstry,Leeds United,61
Dion Sanderson,Wolverhampton Wanderers,67
Ryan Alebiosu,Arsenal,62
Thomas McGill,Brighton and Hove Albion,54
Lewis Hall,Chelsea,60
Zach Awe,Arsenal,59
Omari Hutchinson,Arsenal,69
Sam Waller,Burnley,50
Tayo Adaramola,Crystal Palace,54
Kenedy,Chelsea,77
Nohan Kenneh,Leeds United,64
Lewis Brunt,Leicester City,57
Christian Eriksen,Brentford,82
Samuel Kalu,Watford,73
Abu Kamara,Norwich City,69
Mazeed Ogungbo,Arsenal,59
Jamie Bowden,Tottenham Hotspur,63
Matthew Craig,Tottenham Hotspur,54
Alex Kirk,Arsenal,58
Tyler Dibling,Southampton,58
